tokens:
  名詞 	 ログアウト
  助詞 	 が
  記号 	 、
  名詞 	 直近
  助詞 	 の
  名詞 	 2016
  名詞 	 年
  名詞 	 国勢調査
  助詞 	 で
  助詞 	 は
  名詞 	 78
  名詞 	 .
  名詞 	 3
  名詞 	 %
  助詞 	 に
  助詞 	 まで
  名詞 	 減少
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 2016
  名詞 	 年
  名詞 	 国勢調査
  助詞 	 の
  名詞 	 その他
  助詞 	 の
  名詞 	 結果
  助詞 	 で
  助詞 	 は
  記号 	 、
  名詞 	 プロテスタント
  助詞 	 が
  名詞 	 4
  名詞 	 .
  名詞 	 2
  名詞 	 %、
  名詞 	 正教
  助詞 	 が
  名詞 	 1
  名詞 	 .
  名詞 	 3
  名詞 	 %、
  名詞 	 イスラム教
  助詞 	 が
  名詞 	 1
  名詞 	 .
  名詞 	 3
  名詞 	 %、
  接頭詞 	 無
  名詞 	 宗教
  助詞 	 が
  名詞 	 9
  名詞 	 .
  名詞 	 8
  名詞 	 %
  助詞 	 と
  動詞 	 なっ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 141
  名詞 	 ]
  名詞 	 ジョージタウン大学
  助詞 	 の
  名詞 	 調査
  助詞 	 に
  動詞 	 よる
  助詞 	 と
  記号 	 、
  名詞 	 2000
  名詞 	 年
  名詞 	 以前
  助詞 	 は
  名詞 	 欧米
  名詞 	 諸国
  助詞 	 の
  名詞 	 中
  助詞 	 で
  助詞 	 も
  副詞 	 特に
  名詞 	 ミサ
  助詞 	 の
  名詞 	 定期
  名詞 	 的
  助動詞 	 な
  名詞 	 出席
  名詞 	 率
  助詞 	 が
  形容詞 	 高い
  名詞 	 国
  助動詞 	 だっ
  助動詞 	 た
  助詞 	 という
  名詞 	 [
  名詞 	 142
  名詞 	 ]
  名詞 	 1
  名詞 	 日
  助詞 	 の
  名詞 	 出席
  名詞 	 率
  助詞 	 が
  名詞 	 13
  名詞 	 %
  助動詞 	 で
  助動詞 	 あっ
  助動詞 	 た
  名詞 	 の
  助詞 	 に対し
  記号 	 、
  名詞 	 1
  名詞 	 週間
  助詞 	 の
  名詞 	 出席
  名詞 	 率
  助詞 	 は
  名詞 	 1990
  名詞 	 年
  助詞 	 の
  名詞 	 81
  名詞 	 %
  助詞 	 から
  名詞 	 2006
  名詞 	 年
  助詞 	 に
  助詞 	 は
  名詞 	 48
  名詞 	 %
  助詞 	 に
  名詞 	 減少
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  助詞 	 が
  記号 	 、
  名詞 	 減少
  助詞 	 は
  名詞 	 安定
  名詞 	 化
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  助詞 	 と
  名詞 	 報告
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 143
  名詞 	 ]
  名詞 	 2011
  名詞 	 年
  助詞 	 に
  助詞 	 は
  記号 	 、
  名詞 	 ダブリン
  助詞 	 の
  名詞 	 毎週
  助詞 	 の
  名詞 	 ミサ
  助詞 	 の
  名詞 	 出席
  名詞 	 率
  助詞 	 は
  副詞 	 わずか
  名詞 	 18
  名詞 	 %
  助詞 	 と
  名詞 	 報告
  動詞 	 さ
  動詞 	 れ
  記号 	 、
  形容詞 	 若い
  名詞 	 世代
  助詞 	 で
  助詞 	 は
  副詞 	 さらに
  形容詞 	 低く
  動詞 	 なっ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 144
  名詞 	 ]
  名詞 	 アイルランド
  名詞 	 聖
  名詞 	 公会
  助詞 	 は
  記号 	 、
  名詞 	 人口
  助詞 	 の
  名詞 	 2
  名詞 	 .
  名詞 	 7
  名詞 	 %
  助詞 	 を
  動詞 	 占める
  接頭詞 	 第
  名詞 	 2
  名詞 	 位
  助詞 	 の
  名詞 	 キリスト教
  名詞 	 宗派
  助動詞 	 で
  助動詞 	 ある
  名詞 	 20
  名詞 	 世紀
  助詞 	 を通して
  名詞 	 減少
  動詞 	 し
  助動詞 	 た
  助詞 	 が
  記号 	 、
  名詞 	 他
  助詞 	 の
  名詞 	 小規模
  助動詞 	 な
  名詞 	 キリスト教
  名詞 	 宗派
  助詞 	 と
  名詞 	 同様
  助詞 	 に
  記号 	 、
  名詞 	 21
  名詞 	 世紀
  名詞 	 初頭
  助詞 	 に
  助詞 	 は
  名詞 	 増加
  動詞 	 し
  助動詞 	 た
  名詞 	 プロテスタント
  助詞 	 の
  名詞 	 主要
  助動詞 	 な
  名詞 	 宗派
  助詞 	 は
  記号 	 、
  名詞 	 長老
  名詞 	 派
  名詞 	 教会
  助詞 	 と
  名詞 	 メソジスト
  名詞 	 教会
  助動詞 	 で
  助動詞 	 ある
  名詞 	 移民
  助詞 	 は
  名詞 	 ヒンドゥー
  名詞 	 教徒
  助詞 	 と
  名詞 	 イスラム
  名詞 	 教徒
  助詞 	 の
  名詞 	 人口
  名詞 	 増加
  助詞 	 に
  名詞 	 貢献
  動詞 	 し
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 1996
  名詞 	 年
  助詞 	 に
  助詞 	 は
  名詞 	 ダブリン
  助詞 	 の
  名詞 	 クロンスキー
  助詞 	 に
  名詞 	 モスク
  助詞 	 が
  動詞 	 出来
  助動詞 	 た
  名詞 	 割合
  助詞 	 で
  動詞 	 見る
  助詞 	 と
  記号 	 、
  名詞 	 正統
  名詞 	 派
  名詞 	 キリスト
  名詞 	 教
  助詞 	 と
  名詞 	 イスラム教
  助詞 	 が
  副詞 	 最も
  形容詞 	 早く
  名詞 	 成長
  動詞 	 し
  助動詞 	 た
  名詞 	 宗教
  助詞 	 で
  記号 	 、
  名詞 	 それぞれ
  名詞 	 100
  名詞 	 %
  助詞 	 と
  名詞 	 70
  名詞 	 %
  助詞 	 の
  名詞 	 増加
  助詞 	 を
  名詞 	 記録
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 145
  名詞 	 ]
  名詞 	 アイルランド
  助詞 	 の
  名詞 	 守護
  名詞 	 聖人
  助詞 	 は
  記号 	 、
  名詞 	 聖
  名詞 	 パトリック
  記号 	 、
  名詞 	 聖
  名詞 	 ブリギット
  記号 	 、
  名詞 	 聖
  名詞 	 コルンバ
  助動詞 	 だ
  助詞 	 が
  記号 	 、
  名詞 	 一般
  名詞 	 的
  助詞 	 に
  名詞 	 守護
  名詞 	 聖人
  助詞 	 として
  名詞 	 認識
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 の
  助詞 	 は
  名詞 	 聖
  名詞 	 パトリック
  助詞 	 だけ
  助動詞 	 で
  助動詞 	 ある
  名詞 	 聖
  名詞 	 パトリック
  助詞 	 の
  名詞 	 祝日
  助詞 	 は
  名詞 	 アイルランド
  助詞 	 の
  名詞 	 国
  名詞 	 慶
  名詞 	 節
  助詞 	 として
  名詞 	 3
  名詞 	 月
  名詞 	 17
  名詞 	 日
  助詞 	 に
  名詞 	 アイルランド
  名詞 	 国内外
  助詞 	 でも
  動詞 	 祝わ
  動詞 	 れ
  記号 	 、
  名詞 	 パレード
  助詞 	 など
  助詞 	 が
  動詞 	 行わ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 他
  助詞 	 の
  名詞 	 カトリック
  名詞 	 系
  名詞 	 欧州
  名詞 	 諸国
  助詞 	 と
  名詞 	 同様
  助詞 	 に
  記号 	 、
  名詞 	 アイルランド
  助詞 	 も
  名詞 	 20
  名詞 	 世紀
  名詞 	 後半
  助詞 	 に
  助詞 	 は
  名詞 	 合法
  名詞 	 的
  助動詞 	 な
  名詞 	 世俗
  名詞 	 化
  助詞 	 の
  名詞 	 時代
  助詞 	 を
  動詞 	 迎え
  助動詞 	 た
  名詞 	 1972
  名詞 	 年
  記号 	 、
  名詞 	 特定
  助詞 	 の
  名詞 	 宗教
  名詞 	 団体
  助詞 	 を
  名詞 	 名指し
  動詞 	 し
  助詞 	 て
  動詞 	 い
  助動詞 	 た
  名詞 	 憲法
  助詞 	 の
  名詞 	 条文
  助詞 	 は
  記号 	 、
  名詞 	 修正
  接頭詞 	 第
  名詞 	 5
  名詞 	 条
  助詞 	 の
  名詞 	 国民
  名詞 	 投票
  助詞 	 で
  名詞 	 削除
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  記号 	 「
  名詞 	 国家
  助詞 	 は
  記号 	 、
  名詞 	 公共
  助詞 	 の
  名詞 	 礼拝
  助詞 	 の
  名詞 	 敬礼
  助詞 	 が
  名詞 	 全能
  助詞 	 の
  名詞 	 神
  助詞 	 による
  名詞 	 もの
  助動詞 	 で
  助動詞 	 ある
  名詞 	 こと
  助詞 	 を
  動詞 	 認める
  名詞 	 国家
  助詞 	 は
  記号 	 、
  名詞 	 神
  助詞 	 の
  名詞 	 御名
  助詞 	 を
  名詞 	 敬愛
  動詞 	 し
  記号 	 、
  名詞 	 宗教
  助詞 	 を
  名詞 	 尊重
  動詞 	 し
  記号 	 、
  名詞 	 尊重
  動詞 	 し
  助動詞 	 なけれ
  助詞 	 ば
  動詞 	 なら
  助動詞 	 ない
  記号 	 」
  助詞 	 と
  動詞 	 定め
  動詞 	 られ
  助詞 	 て
  動詞 	 いる
  名詞 	 憲法
  接頭詞 	 第
  名詞 	 44
  名詞 	 条
  助詞 	 は
  動詞 	 残っ
  助詞 	 て
  動詞 	 いる
  接続詞 	 また
  記号 	 、
  接頭詞 	 同
  名詞 	 条は
  名詞 	 信教
  助詞 	 の
  名詞 	 自由
  助詞 	 を
  動詞 	 定め
  記号 	 、
  連体詞 	 いかなる
  名詞 	 宗教
  助詞 	 の
  名詞 	 寄進
  助詞 	 も
  名詞 	 禁止
  動詞 	 し
  記号 	 、
  名詞 	 宗教
  名詞 	 的
  名詞 	 差別
  助詞 	 を
  名詞 	 禁止
  動詞 	 し
  記号 	 、
  名詞 	 宗教
  名詞 	 学校
  助詞 	 と
  接頭詞 	 非
  名詞 	 宗教
  名詞 	 学校
  助詞 	 を
  接頭詞 	 非
  名詞 	 偏見
  名詞 	 的
  助詞 	 に
  動詞 	 扱う
  名詞 	 こと
  助詞 	 を
  名詞 	 国家
  助詞 	 に
  名詞 	 要求
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 宗教
  名詞 	 学
  助詞 	 は
  名詞 	 2001
  名詞 	 年
  助詞 	 に
  名詞 	 中学
  名詞 	 卒業
  名詞 	 国家
  名詞 	 統一
  名詞 	 試験
  助詞 	 の
  名詞 	 ジュニア・サーティフィケート
  助詞 	 の
  名詞 	 選択
  名詞 	 科目
  助詞 	 として
  名詞 	 導入
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  名詞 	 多く
  助詞 	 の
  名詞 	 学校
  助詞 	 は
  名詞 	 宗教
  名詞 	 団体
  助詞 	 によって
  名詞 	 運営
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  助詞 	 が
  記号 	 、
  形容詞 	 若い
  名詞 	 世代
  助詞 	 の
  名詞 	 間
  助詞 	 で
  助詞 	 は
  名詞 	 世俗
  名詞 	 主義
  名詞 	 的
  助動詞 	 な
  名詞 	 傾向
  助詞 	 が
  動詞 	 生じ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 146
  名詞 	 ]
  名詞 	 教育
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 アイルランド
  助詞 	 に
  助詞 	 は
  名詞 	 初等
  名詞 	 教育
  記号 	 、
  名詞 	 中等
  名詞 	 教育
  記号 	 、
  名詞 	 高等
  名詞 	 教育
  助詞 	 の
  名詞 	 3
  助動詞 	 つ
  助詞 	 の
  名詞 	 レベル
  助詞 	 の
  名詞 	 教育
  助詞 	 が
  動詞 	 ある
  名詞 	 教育
  名詞 	 制度
  助詞 	 の
  接頭詞 	 大
  名詞 	 部分
  助詞 	 は
  記号 	 、
  名詞 	 教育
  記号 	 ・
  名詞 	 技能
  名詞 	 大臣
  助詞 	 を
  動詞 	 通じ
  助動詞 	 た
  名詞 	 政府
  助詞 	 の
  名詞 	 指導
  助詞 	 の
  名詞 	 下
  助詞 	 に
  動詞 	 ある
  名詞 	 認可
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  名詞 	 初等
  記号 	 ・
  名詞 	 中等
  名詞 	 教育
  名詞 	 機関
  助詞 	 は
  記号 	 、
  名詞 	 関係
  名詞 	 当局
  助詞 	 が
  動詞 	 定め
  助動詞 	 た
  名詞 	 カリキュラム
  助詞 	 を
  名詞 	 遵守
  動詞 	 し
  助動詞 	 なけれ
  助詞 	 ば
  動詞 	 なら
  助動詞 	 ない
  名詞 	 6
  名詞 	 歳
  助詞 	 から
  名詞 	 15
  名詞 	 歳
  助詞 	 まで
  助詞 	 は
  名詞 	 義務
  名詞 	 教育
  助動詞 	 で
  助動詞 	 あり
  記号 	 、
  名詞 	 18
  名詞 	 歳
  助詞 	 まで
  助詞 	 は
  名詞 	 中等
  名詞 	 教育
  助詞 	 の
  名詞 	 最初
  助詞 	 の
  名詞 	 3
  名詞 	 年間
  助詞 	 を
  名詞 	 修了
  動詞 	 し
  助動詞 	 なけれ
  助詞 	 ば
  動詞 	 なら
  助動詞 	 ず
  記号 	 、
  連体詞 	 その
  名詞 	 中
  助詞 	 に
  助詞 	 は
  名詞 	 中学
  名詞 	 卒業
  名詞 	 国家
  名詞 	 統一
  名詞 	 試験
  助詞 	 の
  名詞 	 ジュニア・サーティフィケート
  助詞 	 も
  動詞 	 含ま
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 147
  名詞 	 ]
  名詞 	 アイルランド
  助詞 	 に
  助詞 	 は
  接頭詞 	 約
  名詞 	 3
  名詞 	 ,
  名詞 	 300
  助詞 	 の
  名詞 	 初等
  名詞 	 教育
  名詞 	 機関
  記号 	 （
  名詞 	 小学校
  記号 	 ）
  助詞 	 が
  動詞 	 ある
  名詞 	 [
  名詞 	 148
  名詞 	 ]
  接頭詞 	 大
  名詞 	 多数
  記号 	 （
  名詞 	 92
  名詞 	 %）
  助詞 	 は
  名詞 	 カトリック
  名詞 	 教会
  助詞 	 の
  名詞 	 保護
  名詞 	 下
  助詞 	 に
  動詞 	 ある
  名詞 	 宗教
  名詞 	 団体
  助詞 	 が
  名詞 	 運営
  動詞 	 する
  名詞 	 学校
  助動詞 	 で
  助動詞 	 あっ
  助詞 	 て
  助詞 	 も
  記号 	 、
  名詞 	 公的
  助動詞 	 な
  名詞 	 資金
  助詞 	 と
  名詞 	 承認
  助詞 	 を
  動詞 	 受け
  助詞 	 て
  動詞 	 いる
  名詞 	 学校
  助詞 	 は
  記号 	 、
  名詞 	 宗教
  助詞 	 や
  連体詞 	 その
  名詞 	 欠如
  助詞 	 に
  動詞 	 基づい
  助詞 	 て
  名詞 	 生徒
  助詞 	 を
  名詞 	 差別
  動詞 	 する
  名詞 	 こと
  助詞 	 は
  動詞 	 でき
  助動詞 	 ない
  名詞 	 特定
  助詞 	 の
  名詞 	 宗教
  助詞 	 の
  名詞 	 生徒
  助詞 	 は
  記号 	 、
  名詞 	 学校
  助詞 	 の
  名詞 	 定員
  助詞 	 に
  動詞 	 達し
  助詞 	 て
  動詞 	 いる
  名詞 	 場合
  助詞 	 に
  助詞 	 は
  記号 	 、
  名詞 	 学校
  助詞 	 の
  名詞 	 理念
  助詞 	 を
  名詞 	 共有
  動詞 	 し
  助詞 	 て
  動詞 	 い
  助動詞 	 ない
  名詞 	 生徒
  助詞 	 より
  助詞 	 も
  名詞 	 先
  助詞 	 に
  動詞 	 受け入れ
  動詞 	 られる
  名詞 	 可能
  名詞 	 性
  助詞 	 が
  動詞 	 ある
  名詞 	 高校
  名詞 	 卒業
  名詞 	 国家
  名詞 	 統一
  名詞 	 試験
  助詞 	 の
  名詞 	 リービング・サーティフィケート
  助詞 	 は
  記号 	 、
  名詞 	 2
  名詞 	 年間
  助詞 	 の
  名詞 	 学習
  助詞 	 の
  名詞 	 後
  助詞 	 に
  名詞 	 受験
  動詞 	 さ
  動詞 	 れる
  名詞 	 中等
  名詞 	 教育
  名詞 	 機関
  助詞 	 の
  名詞 	 最終
  名詞 	 試験
  助動詞 	 で
  助動詞 	 ある
  名詞 	 高等
  名詞 	 教育
  助詞 	 を
  動詞 	 受けよ
  助動詞 	 う
  助詞 	 と
  動詞 	 する
  名詞 	 者
  助詞 	 は
  名詞 	 通常
  連体詞 	 この
  名詞 	 試験
  助詞 	 を
  名詞 	 受験
  動詞 	 する
  助詞 	 が
  記号 	 、
  名詞 	 一般
  名詞 	 的
  助詞 	 に
  助詞 	 は
  接頭詞 	 第
  名詞 	 3
  名詞 	 期
  助詞 	 の
  名詞 	 教育
  助詞 	 へ
  助詞 	 の
  名詞 	 入学
  助詞 	 は
  記号 	 、
  名詞 	 受験
  動詞 	 する
  名詞 	 6
  助動詞 	 つ
  助詞 	 の
  名詞 	 科目
  助詞 	 の
  名詞 	 中
  助詞 	 で
  副詞 	 最も
  名詞 	 成績
  助詞 	 の
  形容詞 	 良い
  名詞 	 科目
  助詞 	 の
  名詞 	 成績
  助詞 	 に
  動詞 	 応じ
  助詞 	 て
  記号 	 、
  名詞 	 競争
  名詞 	 制
  助詞 	 で
  動詞 	 行わ
  動詞 	 れる
  名詞 	 [
  名詞 	 149
  名詞 	 ]
  接頭詞 	 第
  名詞 	 3
  名詞 	 期
  助詞 	 の
  名詞 	 教育
  助詞 	 は
  記号 	 、
  副詞 	 少なくとも
  名詞 	 38
  助詞 	 の
  名詞 	 高等
  名詞 	 教育
  名詞 	 機関
  助詞 	 によって
  名詞 	 授与
  動詞 	 さ
  動詞 	 れる
  名詞 	 これ
  助詞 	 に
  助詞 	 は
  記号 	 、
  名詞 	 総合大学
  名詞 	 10
  名詞 	 校
  助詞 	 に
  動詞 	 加え
  記号 	 、
  名詞 	 高等
  名詞 	 教育
  記号 	 ・
  名詞 	 研修
  名詞 	 賞
  名詞 	 審議
  名詞 	 会
  助詞 	 が
  名詞 	 指定
  動詞 	 する
  名詞 	 その他
  助詞 	 の
  名詞 	 高等
  名詞 	 教育
  名詞 	 機関
  助詞 	 が
  動詞 	 含ま
  動詞 	 れる
  名詞 	 経済
  名詞 	 協力
  名詞 	 開発
  名詞 	 機構
  記号 	 （
  名詞 	 OECD
  記号 	 ）
  助詞 	 が
  名詞 	 調整
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 留学生
  名詞 	 評価
  名詞 	 プログラム
  助詞 	 で
  助詞 	 は
  記号 	 、
  名詞 	 2012
  名詞 	 年
  助詞 	 の
  名詞 	 評価
  助詞 	 で
  記号 	 、
  名詞 	 アイルランド
  助詞 	 は
  名詞 	 OECD
  名詞 	 加盟
  名詞 	 国
  助詞 	 の
  名詞 	 中
  助詞 	 で
  名詞 	 読解
  名詞 	 力
  助詞 	 が
  名詞 	 4
  名詞 	 番目
  助詞 	 に
  形容詞 	 高く
  記号 	 、
  名詞 	 理科
  助詞 	 が
  名詞 	 9
  名詞 	 番目
  助詞 	 に
  形容詞 	 高く
  記号 	 、
  名詞 	 数学
  助詞 	 が
  名詞 	 13
  名詞 	 番目
  助詞 	 に
  形容詞 	 高い
  助詞 	 と
  名詞 	 評価
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 150
  名詞 	 ]
  名詞 	 2012
  名詞 	 年
  助詞 	 に
  助詞 	 は
  記号 	 、
  名詞 	 アイルランド
  助詞 	 の
  名詞 	 15
  名詞 	 歳
  助詞 	 の
  名詞 	 学生
  助詞 	 の
  名詞 	 読み書き
  名詞 	 能力
  助詞 	 は
  記号 	 、
  名詞 	 欧州
  名詞 	 連合
  助詞 	 で
  名詞 	 2
  名詞 	 番目
  助詞 	 に
  形容詞 	 高い
  名詞 	 水準
  助詞 	 に
  動詞 	 あっ
  助動詞 	 た
  名詞 	 [
  名詞 	 151
  名詞 	 ]
  接続詞 	 また
  記号 	 、
  名詞 	 アイルランド
  助詞 	 の
  名詞 	 一
  名詞 	 人
  名詞 	 当たり
  助詞 	 の
  名詞 	 大学
  名詞 	 数
  助詞 	 は
  名詞 	 世界
  名詞 	 上位
  助詞 	 の
  名詞 	 500
  名詞 	 校
  名詞 	 中
  名詞 	 0
  名詞 	 .
  名詞 	 747
  名詞 	 校
  助動詞 	 で
  記号 	 、
  名詞 	 世界
  接頭詞 	 第
  名詞 	 8
  名詞 	 位
  助詞 	 に
  名詞 	 ランク
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 152
  名詞 	 ]
  名詞 	 アイルランド
  助詞 	 で
  助詞 	 は
  記号 	 、
  名詞 	 初等
  名詞 	 教育
  記号 	 、
  名詞 	 中等
  名詞 	 教育
  記号 	 、
  名詞 	 高等
  名詞 	 教育
  記号 	 （
  名詞 	 大学
  記号 	 ・
  名詞 	 カレッジ
  記号 	 ）
  助詞 	 は
  名詞 	 すべて
  助詞 	 の
  名詞 	 EU
  名詞 	 市民
  助詞 	 に
  名詞 	 無料
  助詞 	 で
  名詞 	 提供
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 153
  名詞 	 ]
  名詞 	 学生
  名詞 	 サービス
  助詞 	 や
  名詞 	 試験
  助詞 	 の
  名詞 	 費用
  助詞 	 は
  動詞 	 かかる
  接続詞 	 また
  記号 	 、
  名詞 	 アイルランド
  助詞 	 の
  名詞 	 人口
  助詞 	 の
  名詞 	 37
  名詞 	 %
  助詞 	 が
  名詞 	 大学
  接続詞 	 または
  名詞 	 カレッジ
  助詞 	 の
  名詞 	 学位
  助詞 	 を
  動詞 	 持っ
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 世界
  助詞 	 で
  形容詞 	 高い
  名詞 	 割合
  助詞 	 を
  動詞 	 誇っ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 154
  名詞 	 ][
  名詞 	 155
  名詞 	 ]
  名詞 	 保健
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 医療
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 アイルランド
  助詞 	 の
  名詞 	 医療
  助詞 	 は
  記号 	 、
  名詞 	 公的
  名詞 	 医療
  名詞 	 機関
  助詞 	 と
  名詞 	 民間
  名詞 	 医療
  名詞 	 機関
  助詞 	 の
  名詞 	 両方
  助詞 	 から
  名詞 	 提供
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 156
  名詞 	 ]
  名詞 	 一般
  名詞 	 税収
  助詞 	 を
  名詞 	 原資
  助詞 	 と
  動詞 	 し
  助動詞 	 た
  名詞 	 ユニバーサル
  名詞 	 ヘルスケア
  助詞 	 が
  名詞 	 達成
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 公的
  名詞 	 セクター
  助詞 	 が
  名詞 	 プライマリケア
  名詞 	 診療
  名詞 	 所
  助詞 	 を
  名詞 	 運営
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 157
  名詞 	 ]
  名詞 	 利用
  助詞 	 に
  助詞 	 は
  名詞 	 自己
  名詞 	 負担
  助詞 	 が
  名詞 	 発生
  動詞 	 する
  名詞 	 民間
  名詞 	 医療
  名詞 	 保険
  名詞 	 市場
  助詞 	 も
  名詞 	 存在
  動詞 	 し
  記号 	 、
  名詞 	 加入
  名詞 	 率
  助詞 	 は
  名詞 	 44
  名詞 	 .
  名詞 	 6
  名詞 	 %
  助動詞 	 で
  助動詞 	 あっ
  助動詞 	 た
  記号 	 （
  名詞 	 2013
  名詞 	 年
  記号 	 ）
  名詞 	 [
  名詞 	 157
  名詞 	 ]
  名詞 	 保健
  名詞 	 大臣
  助詞 	 が
  名詞 	 保健
  名詞 	 サービス
  名詞 	 全般
  助詞 	 の
  名詞 	 政策
  助詞 	 を
  名詞 	 決定
  動詞 	 する
  名詞 	 責任
  助詞 	 を
  動詞 	 負っ
  助詞 	 て
  動詞 	 いる
  名詞 	 アイルランド
  助詞 	 の
  名詞 	 居住
  名詞 	 者
  助詞 	 は
  記号 	 、
  名詞 	 保健
  名詞 	 サービス
  名詞 	 執行
  名詞 	 部
  助詞 	 が
  名詞 	 管理
  動詞 	 し
  記号 	 、
  名詞 	 一般
  助詞 	 の
  名詞 	 税金
  助詞 	 で
  動詞 	 賄わ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 公的
  名詞 	 医療
  名詞 	 制度
  助詞 	 を
  名詞 	 利用
  動詞 	 し
  助詞 	 て
  名詞 	 医療
  助詞 	 を
  動詞 	 受ける
  名詞 	 権利
  助詞 	 が
  動詞 	 ある
  名詞 	 特定
  助詞 	 の
  名詞 	 医療
  助詞 	 を
  動詞 	 受ける
  名詞 	 ため
  助詞 	 に
  助詞 	 は
  記号 	 、
  名詞 	 所得
  記号 	 、
  名詞 	 年齢
  記号 	 、
  名詞 	 病気
  記号 	 、
  名詞 	 障害
  助詞 	 の
  名詞 	 程度
  助詞 	 によって
  助詞 	 は
  記号 	 、
  名詞 	 助成
  名詞 	 金
  助詞 	 を
  動詞 	 支払わ
  助動詞 	 なけれ
  助詞 	 ば
  動詞 	 なら
  助動詞 	 ない
  名詞 	 場合
  助詞 	 が
  動詞 	 ある
  名詞 	 出産
  名詞 	 サービス
  助詞 	 は
  名詞 	 無料
  助詞 	 で
  記号 	 、
  名詞 	 生後
  名詞 	 6
  名詞 	 ヶ月
  助詞 	 まで
  助詞 	 の
  名詞 	 子ども
  助詞 	 の
  名詞 	 手当て
  助詞 	 も
  名詞 	 無料
  助動詞 	 で
  助動詞 	 ある
  名詞 	 救急
  名詞 	 医療
  助詞 	 は
  記号 	 、
  名詞 	 病院
  助詞 	 の
  名詞 	 救急
  名詞 	 部
  助詞 	 に
  名詞 	 来院
  動詞 	 し
  助動詞 	 た
  名詞 	 患者
  助詞 	 に
  名詞 	 提供
  動詞 	 さ
  動詞 	 れる
  助詞 	 が
  記号 	 、
  名詞 	 緊急
  助動詞 	 で
  助詞 	 は
  形容詞 	 ない
  名詞 	 状況
  助詞 	 で
  名詞 	 救急
  名詞 	 科
  助詞 	 を
  名詞 	 受診
  動詞 	 し
  助動詞 	 た
  名詞 	 場合
  記号 	 、
  名詞 	 総合
  名詞 	 診療
  名詞 	 医
  助詞 	 から
  助詞 	 の
  名詞 	 紹介
  助詞 	 で
  助詞 	 は
  形容詞 	 ない
  名詞 	 場合
  助詞 	 は
  名詞 	 100
  名詞 	 ユーロ
  助詞 	 の
  名詞 	 料金
  助詞 	 が
  名詞 	 発生
  動詞 	 する
  名詞 	 こと
  助詞 	 が
  動詞 	 ある
  名詞 	 状況
  助詞 	 によって
  助詞 	 は
  記号 	 、
  連体詞 	 この
  名詞 	 料金
  助詞 	 が
  動詞 	 支払わ
  動詞 	 れ
  助動詞 	 ない
  名詞 	 場合
  助詞 	 や
  名詞 	 免除
  動詞 	 さ
  動詞 	 れる
  名詞 	 場合
  助詞 	 も
  動詞 	 ある
  名詞 	 [
  名詞 	 158
  名詞 	 ]
  名詞 	 欧州
  名詞 	 健康
  名詞 	 保険
  名詞 	 証
  助詞 	 を
  動詞 	 持っ
  助詞 	 て
  動詞 	 いる
  名詞 	 者
  助詞 	 は
  名詞 	 誰
  助詞 	 でも
  記号 	 、
  名詞 	 医療
  名詞 	 サービス
  名詞 	 執行
  名詞 	 機関
  助詞 	 で
  名詞 	 治療
  助詞 	 を
  名詞 	 無料
  助詞 	 で
  動詞 	 受ける
  名詞 	 こと
